**Title**	**Location**	**Job Details**
"Architect 4, Software Architecture"	"Philaldelphia, PA; Moorestown, NJ"	177256	https://jobs.comcast.com/job-177256-senior-security-architect-in-philadelphia-pa-technology-it
Senior Director	"Moorestown, NJ; Philadelphia, PA; Reston, VA; Centennial, CO"	183359	https://jobs.comcast.com/job-183359-sr-director-commercial-security-solutions-in-moorestown-nj-telecommunications
"Eng 3, Engineering"	"Philadelphia, PA"	180931	https://jobs.comcast.com/job-180931-it-systems-engineer-physical-security-in-philadelphia-pa-technology-network-engineering
Eng 4	"Philadelphia, PA"	182381	https://jobs.comcast.com/job-182381-cloudnetwork-security-software-engineer-in-philadelphia-pa-technology-software-engineering
Sr. Manager	"Philadelphia, PA"	183540	https://jobs.comcast.com/job-183540-manager-2-business-security-officer-in-philadelphia-pa-telecommunications
"Embedded Eng, X1 apps, Eng 4"	"Philadelphia, PA"	171824	https://jobs.comcast.com/job-171824-sr-security-application-developer-in-philadelphia-pa-technology-it
"Eng 5, TSF"	"Philadelphia, PA; Denver, CO"	178853	https://jobs.comcast.com/job-178853-cloudnetwork-security-software-engineer-in-philadelphia-pa-technology-it
Executive Director	"Philadelphia, PA"	184811	https://jobs.comcast.com/job-184811-exec-director-identity-authentication-in-philadelphia-pa-telecommunications
